,COV-R_mean,COV-R_median,COV-R_std,COV-P_mean,COV-P_median,COV-P_std
0.05,0.032711709588828866,0.009060127231684794,0.07155121746047126,0.01492675832356874,0.004524979524979525,0.034089220735110545
0.1,0.27135416895301273,0.19642857142857142,0.23443867499848575,0.11980226736434715,0.08333333333333333,0.13401287470087428
0.15000000000000002,0.4288073021012164,0.35248447204968947,0.27797417934518226,0.190273354171487,0.15562678062678065,0.1654033279682946
0.2,0.5280113926962319,0.48163746630727766,0.2794543928792841,0.23788510027403467,0.2092993951612903,0.17868862397169458
0.25,0.602192453468659,0.5865704772475028,0.26142063747855177,0.27919161044555635,0.24090608465608465,0.18638428676495009
0.3,0.6643740008489631,0.6761750202858747,0.24021151185365944,0.31311439089352006,0.2672250101722501,0.18986576768280886
0.35000000000000003,0.7202965146420955,0.726222968717195,0.21985373768490118,0.3433087085641054,0.28820181362145475,0.19352008655771624
0.4,0.7740240266398146,0.7844234079173837,0.19644685529177316,0.3760026786921755,0.34727658186562294,0.198924632306208
0.45,0.8334414964196138,0.8639622641509435,0.16761055074163497,0.42618096533426403,0.4074519230769231,0.2093742760990014
0.5,0.8977858561714935,0.9417073688681248,0.13274028496424486,0.5003986958275349,0.48307560137457045,0.21885739334926382
0.55,0.9539161546591544,0.9905211141060197,0.0944533687904892,0.6072945027695789,0.5939568231957137,0.2271723329068604
0.6000000000000001,0.9814789414566789,1.0,0.07233786517678083,0.7068456567617836,0.7531863051355742,0.2189121009131429
0.6500000000000001,0.9922447513430593,1.0,0.06386335173301483,0.7808842672110684,0.8545716727195044,0.20698890270111314
0.7000000000000001,0.9953187829487754,1.0,0.059396109887135985,0.834365483392989,0.9264015151515151,0.19384478512427444
0.7500000000000001,0.9960823303680446,1.0,0.053294101359138465,0.870824870090479,0.9509934248141796,0.18422579985422147
0.8,0.9966710273853132,1.0,0.04507686955175547,0.8981065306541568,0.9820914614646626,0.17734639493916543
0.8500000000000001,0.9971507064364208,1.0,0.038382447594486065,0.9130047864160271,0.9915598290598291,0.17305904858373555
0.9000000000000001,0.9979504622361764,1.0,0.02862023731280038,0.9217454042839928,0.9944899817850638,0.1689944096995206
0.9500000000000001,0.9984519448805163,1.0,0.021617413289455645,0.9278712160469375,0.9965984820436875,0.16229528840360846
1.0,0.9987789987789989,1.0,0.017050354143795975,0.9332559880655352,1.0,0.1548352915716108
1.05,0.999062445491017,1.0,0.013092236217557642,0.9375348746068178,1.0,0.14889251457048863
1.1,0.9992804814233386,1.0,0.010047530120451266,0.939897913659391,1.0,0.14550950610767346
1.1500000000000001,0.9994985173556603,1.0,0.007002824023344788,0.9486988951016855,1.0,0.12994718273100558
1.2000000000000002,0.9995639281353567,1.0,0.006089412194212856,0.95874378154494,1.0,0.11360274839243543
1.2500000000000002,0.9995639281353567,1.0,0.006089412194212856,0.967544428669111,1.0,0.0947830177806354
1.3,0.999738356881214,1.0,0.003653647316527728,0.9752545458407527,1.0,0.07549569659693457
1.35,0.9997819640676784,1.0,0.003044706097106426,0.9800399324238473,1.0,0.06429047461466812
1.4000000000000001,0.9998473748473747,1.0,0.002131294267974505,0.9831307753114109,1.0,0.058868116271158594
1.4500000000000002,0.9999345892203035,1.0,0.000913411829131929,0.984870393452086,1.0,0.054975545894377496
1.5000000000000002,0.9999345892203035,1.0,0.000913411829131929,0.9862833473340975,1.0,0.05228913274126952
1.55,0.9999345892203035,1.0,0.000913411829131929,0.9874672713227176,1.0,0.048352809168404245
1.6,0.9999563928135358,1.0,0.0006089412194212831,0.9889134634166011,1.0,0.04145438560195448
1.6500000000000001,0.9999563928135358,1.0,0.0006089412194212831,0.9902806046839789,1.0,0.0367100097724998
1.7000000000000002,1.0,1.0,0.0,0.9910679746533974,1.0,0.034609100019943016
1.7500000000000002,1.0,1.0,0.0,0.9914944487118257,1.0,0.03356422106813105
1.8,1.0,1.0,0.0,0.9919634750400658,1.0,0.03270181787106268
1.85,1.0,1.0,0.0,0.9922539003393859,1.0,0.03247688094681033
1.9000000000000001,1.0,1.0,0.0,0.9923908143943294,1.0,0.0322338432847492
1.9500000000000002,1.0,1.0,0.0,0.9926738263858396,1.0,0.031985447486153375
2.0,1.0,1.0,0.0,0.9927525363163924,1.0,0.03188675422226196
2.05,1.0,1.0,0.0,0.9928475103713997,1.0,0.031793055571801544
2.1,1.0,1.0,0.0,0.9929542137292435,1.0,0.031577512164597095
2.15,1.0,1.0,0.0,0.9929914860251126,1.0,0.03152091976648795
2.1999999999999997,1.0,1.0,0.0,0.9931078181515925,1.0,0.03129190632244978
2.25,1.0,1.0,0.0,0.9933287063523303,1.0,0.03103680541201891
2.3,1.0,1.0,0.0,0.9936352922310345,1.0,0.030487584066969144
2.35,1.0,1.0,0.0,0.9938734261288,1.0,0.030189537670333205
2.4,1.0,1.0,0.0,0.9940045140326391,1.0,0.03005552702336885
2.45,1.0,1.0,0.0,0.99427139763627,1.0,0.029820178205711857
2.5,1.0,1.0,0.0,0.9944622124541159,1.0,0.02934684373554284
2.55,1.0,1.0,0.0,0.9946795555602882,1.0,0.028992053985942273
2.6,1.0,1.0,0.0,0.9948780135917167,1.0,0.028735354869193028
2.65,1.0,1.0,0.0,0.99503801395476,1.0,0.028563297446339213
2.7,1.0,1.0,0.0,0.9952040372067215,1.0,0.028403367668943507
2.75,1.0,1.0,0.0,0.9954139037773834,1.0,0.028231055564201697
2.8,1.0,1.0,0.0,0.9955730070156924,1.0,0.02809158835084354
2.85,1.0,1.0,0.0,0.9957292201822051,1.0,0.02793247439555708
2.9,1.0,1.0,0.0,0.995883750779165,1.0,0.027832614175859433
2.95,1.0,1.0,0.0,0.9960471507970968,1.0,0.02773939895707281
3.0,1.0,1.0,0.0,0.9961860763629112,1.0,0.027642858668279
